"category","module","onnx_scope","tensorrt_layer_or_pattern","fp16_time_ms","count","shape_or_precision","mapping_status","planned_action","notes"
"MODULE_BOUNDARY","Output head","entry: /model/decoder/score_1/Conv; exit: /Sigmoid","/model/decoder/score_1/Conv -> /Resize -> PWN(/Sigmoid)","0.127817","3","1x1x88x88 -> 1x1x352x352","exact/fused","leave FP16/FP32","Combined FP16 time: 0.056598 + 0.049861 + 0.021358 ms"
"HOT_LAYER","Decoder d31 conv_pre","/model/decoder/d31/conv_pre/conv_pre.0/Conv + ...Relu","same-name fused CaskConvolution","0.674148","1","1x64x88x88","exact","force INT8 candidate","Highest-cost non-edge decoder layer"
"HOT_LAYER","Decoder d42 conv_pre","/model/decoder/d42/conv_pre/conv_pre.0/Conv + ...Relu","same-name fused CaskConvolution","0.510838","1","1x128x44x44","exact","force INT8 candidate",""
"HOT_LAYER","Decoder d42_31 conv_pre","/model/decoder/d42_31/conv_pre/conv_pre.0/Conv + ...Relu","same-name fused CaskConvolution","0.300636","1","1x64x88x88","exact","force INT8 candidate",""
"HOT_LAYER","Encoder block3 MLP fc1","/model/block3.{0..17}/mlp/fc1/MatMul","/model/block3.{0..17}/mlp/fc1/MatMul_myl*_7","5.193431","18","each 0.286838-0.290249 ms","exact/pattern","profile later; not first hybrid target","Largest repeated compute family"
"HOT_LAYER","Encoder block1 MLP GELU fusion","/model/block1.{0..2}/mlp/dwconv/{Reshape_1,Transpose_1} + /act/*","__myl_ReshTranDivCastErfCastAddMulMul_myl{30,39,48}_0","1.011520","3","each 0.336960-0.337530 ms","exact/fused-pattern","layout optimization candidate",""
"HOT_LAYER","Encoder block1 depthwise conv","/model/block1.{0..2}/mlp/dwconv/dwconv/Conv","same-name CaskConvolution","0.857802","3","each 0.285204-0.287217 ms","exact/pattern","layout optimization candidate",""
"HOT_LAYER","Encoder block1 fc1 Add/reshape fusion","/model/block1.{0..2}/mlp/fc1/Add -> .../dwconv/Reshape","__myl_Add_myl{26,35,44}_{9,8,8}","0.797802","3","each 0.265561-0.266380 ms","exact/fused-pattern","layout optimization candidate",""
"HOT_LAYER","Encoder block4 MLP fc1","/model/block4.{0..2}/mlp/fc1/MatMul","/model/block4.{0..2}/mlp/fc1/MatMul_myl*_7","0.777063","3","each 0.258633-0.259401 ms","exact/pattern","keep FP16 initially",""
"HOT_LAYER","Decoder FEM3 conv1","/model/decoder/FEM3/conv1/Conv + /model/decoder/FEM3/prelu/PRelu","/model/decoder/FEM3/conv1/Conv + PWN(.../FEM3/prelu/PRelu)","0.279852","1","1x320x22x22","exact/fused","force INT8 candidate",""
"HOT_LAYER","Decoder FEM1 reshape/transpose","/model/decoder/FEM1/Reshape + /model/decoder/FEM1/Transpose","same-name Shuffle","0.275068","1","1x32x2x88x88","exact/fused","keep adjacent CBAM FP16","Layout operation, not convolution"
"COPY_NODE","MLP to depthwise-conv layout conversion","/model/block1.{0..2}, block2.{0..3}, block3.{0..17}: mlp/fc1/Add -> mlp/dwconv/Reshape -> mlp/dwconv/dwconv/Conv","Reformatting CopyNode for Input Tensor 0 to /model/block{1..3}.*/mlp/dwconv/dwconv/Conv","3.655425","25","FP16 row-major -> FP16 channel-major","exact/pattern","change layout/export pattern","stage1 0.827264 ms; stage2 0.607195 ms; stage3 2.220966 ms"
"COPY_NODE","Decoder FEM conversions","/model/decoder/FEM{1..4}/**","Reformatting CopyNode ... /model/decoder/FEM{1..4}/...","0.648492","33","mixed layout and datatype","exact/pattern","reduce through hybrid precision islands","Includes 8 explicitly CBAM-named CopyNodes totaling 0.378225 ms in FP16 profile"
"COPY_NODE","All non-edge explicit CopyNodes","encoder + decoder shared graph","Reformatting CopyNode* excluding edge_branch endpoints","8.440438","168","FP16 profile","report-derived","use raw copy-node CSV for individual rows","Raw details remain in fp16_copynode_nodes.csv"
"PRECISION_BOUNDARY","Stage1 fan-out","stage1 output -> patch_embed2 and FEM1","INT8 CopyNode indexes 20-21","","2","FP16 -> INT8 -> FP16; 1x64x88x88","report-derived","separate encoder FP16 path from FEM1 INT8 path",""
"PRECISION_BOUNDARY","Stage3 fan-out","stage3 output -> patch_embed4 and FEM3","INT8 CopyNode indexes 132-133","","2","FP16 -> INT8 -> FP16; 1x320x22x22 and 1x512x11x11","report-derived","separate encoder FP16 path from FEM3 INT8 path",""
"PRECISION_BOUNDARY","FEM1/CBAM","/model/decoder/FEM1/**","INT8 CopyNode indexes 134-142","","9","INT8 <-> FP16 plus FP32 scalar -> INT8","report-derived","force the whole CBAM island FP16","Avoid precision ping-pong inside CBAM"
"PRECISION_BOUNDARY","FEM2/CBAM","/model/decoder/FEM2/**","INT8 CopyNode indexes 147-149","","3","FP16 <-> INT8 plus FP32 scalar -> INT8","report-derived","force the whole CBAM island FP16",""
"PRECISION_BOUNDARY","FEM3/CBAM","/model/decoder/FEM3/**","INT8 CopyNode indexes 150,152,154-156","","5","INT8 -> FP16; FP16/FP32 -> INT8","report-derived","force the whole CBAM island FP16",""
"PRECISION_BOUNDARY","FEM4/CBAM and d42 entry","/model/decoder/FEM4/** -> /model/decoder/d42/Resize","INT8 CopyNode indexes 160-161,165","","3","FP16 <-> INT8","report-derived","force CBAM FP16; keep d42 conv path INT8",""
"PRECISION_BOUNDARY","Decoder scalar broadcasts","PReLU/Add scalar constants","INT8 CopyNode indexes 166-167","","2","FP32 scalar -> INT8","report-derived","keep pointwise residual island FP16 if conversion remains costly",""
"MODIFY","Decoder FEM large convolutions","/model/decoder/FEM{1..4}/{conv1,conv2,conv3}/Conv","FEM{1..4} conv1/2/3 TRT layers; conv1 and conv3 are fused","1.923448","12","FP16 baseline total","exact/pattern","force INT8","conv1 0.908586; conv2 0.748576; conv3 0.266286 ms"
"MODIFY","Decoder fusion convolutions","/model/decoder/{d31,d42,d42_31}/conv_pre/conv_pre.0/Conv","three fused conv+Relu TRT layers","1.485622","3","FP16 baseline total","exact/pattern","force INT8",""
"MODIFY","All decoder CBAM blocks","/model/decoder/FEM{1..4}/cbam/**","TRT CBAM compute and reformat layers","1.598519","60","FP16 baseline total","exact/pattern","force FP16 as one island","Do not alternate precision between CA, SA, sigmoid and Mul"
"MODIFY","Encoder MLP-to-DWConv boundary","/model/block{1..3}.*/mlp/{fc1,dwconv}/**","25 layout CopyNodes plus adjacent fused Add/Reshape and depthwise Conv","3.655425","25","FP16 CopyNode total","exact/pattern","rewrite layout/export or fuse","Independent optimization after the hybrid-precision experiment"
"MODIFY","Output head","/model/decoder/score_1/Conv -> /Resize -> /Sigmoid","same-name TRT chain","0.127817","3","mixed FP16/FP32 output","exact","leave unchanged initially","Too small to justify another precision boundary"
